request_id,lab_node_id,ready_time,due_time,service_time,max_transport_time
1,1,0,180,5,240
2,2,0,180,5,240
3,3,0,180,5,240
4,4,0,180,5,240
5,5,0,180,5,240
6,6,0,180,5,240
7,7,0,180,5,240
8,8,0,180,5,240
9,9,0,180,5,240
10,10,0,180,5,240
11,11,0,180,5,240
12,12,0,180,5,240
13,13,0,180,5,240
14,14,0,180,5,240
15,15,0,180,5,240
16,16,0,180,5,240
17,17,0,180,5,240
18,18,0,180,5,240
19,19,0,180,5,240
20,20,0,180,5,240
21,21,0,180,5,240
22,22,0,180,5,240
23,23,0,180,5,240
24,24,0,180,5,240
25,25,0,180,5,240
26,26,0,180,5,240
27,27,0,180,5,240
28,28,0,180,5,240
29,29,0,180,5,240
30,30,0,180,5,240
31,31,0,180,5,240
32,32,0,180,5,240
33,33,0,180,5,240
34,34,0,180,5,240
35,35,0,180,5,240
36,36,0,180,5,240
37,37,0,180,5,240
38,38,0,180,5,240
39,39,0,180,5,240
40,40,0,180,5,240
