request_id,lab_node_id,ready_time,due_time,service_time,max_transport_time
1,1,0,480,5,480
2,2,0,480,5,480
3,3,0,480,5,480
4,4,0,480,5,480
5,5,0,480,5,480
6,6,0,480,5,480
7,7,0,480,5,480
8,8,0,480,5,480
9,9,0,480,5,480
10,10,0,480,5,480
11,11,0,480,5,480
12,12,0,480,5,480
13,13,0,480,5,480
14,14,0,480,5,480
15,15,0,480,5,480
16,16,0,480,5,480
17,17,0,480,5,480
18,18,0,480,5,480
19,19,0,480,5,480
20,20,0,480,5,480
21,21,0,480,5,480
22,22,0,480,5,480
23,23,0,480,5,480
24,24,0,480,5,480
25,25,0,480,5,480
26,26,0,480,5,480
27,27,0,480,5,480
28,28,0,480,5,480
29,29,0,480,5,480
30,30,0,480,5,480
31,31,0,480,5,480
32,32,0,480,5,480
33,33,0,480,5,480
34,34,0,480,5,480
35,35,0,480,5,480
36,36,0,480,5,480
37,37,0,480,5,480
38,38,0,480,5,480
39,39,0,480,5,480
40,40,0,480,5,480
