request_id,lab_node_id,num_samples,ready_time,due_time,service_time,max_transport_time
1,1,20,0,480,5,480
2,2,3,0,480,5,480
3,3,13,0,480,5,480
4,4,3,0,480,5,480
5,5,16,0,480,5,480
6,6,3,0,480,5,480
7,7,2,0,480,5,480
8,8,20,0,480,5,480
9,9,22,0,480,5,480
10,10,1,0,480,5,480
11,11,11,0,480,5,480
12,12,18,0,480,5,480
13,13,12,0,480,5,480
14,14,1,0,480,5,480
15,15,1,0,480,5,480
16,16,1,0,480,5,480
17,17,7,0,480,5,480
18,18,0,0,480,5,480
19,19,1,0,480,5,480
20,20,22,0,480,5,480
21,21,8,0,480,5,480
22,22,8,0,480,5,480
23,23,15,0,480,5,480
24,24,18,0,480,5,480
25,25,16,0,480,5,480
26,26,17,0,480,5,480
27,27,14,0,480,5,480
28,28,16,0,480,5,480
29,29,22,0,480,5,480
30,30,16,0,480,5,480
31,31,6,0,480,5,480
32,32,13,0,480,5,480
33,33,4,0,480,5,480
34,34,21,0,480,5,480
35,35,11,0,480,5,480
36,36,12,0,480,5,480
37,37,23,0,480,5,480
38,38,1,0,480,5,480
39,39,20,0,480,5,480
40,40,24,0,480,5,480
