request_id,lab_node_id,num_samples,ready_time,due_time,service_time,max_transport_time
1,1,27,4,600,5,600
2,2,16,3,600,5,600
3,3,13,4,600,5,600
4,4,18,2,600,5,600
5,5,20,2,600,5,600
6,6,2,4,600,5,600
7,7,24,4,600,5,600
8,8,26,0,600,5,600
9,9,22,2,600,5,600
10,10,3,3,600,5,600
11,11,21,4,600,5,600
12,12,3,4,600,5,600
13,13,22,0,600,5,600
14,14,17,1,600,5,600
15,15,8,2,600,5,600
16,16,18,4,600,5,600
17,17,5,0,600,5,600
18,18,17,3,600,5,600
19,19,17,4,600,5,600
20,20,6,2,600,5,600
21,21,6,3,600,5,600
22,22,23,3,600,5,600
23,23,27,4,600,5,600
24,24,7,1,600,5,600
25,25,19,0,600,5,600
26,26,12,3,600,5,600
27,27,24,2,600,5,600
28,28,21,4,600,5,600
29,29,12,1,600,5,600
30,30,6,2,600,5,600
31,31,27,2,600,5,600
32,32,20,1,600,5,600
33,33,25,4,600,5,600
34,34,15,0,600,5,600
35,35,14,4,600,5,600
36,36,13,0,600,5,600
37,37,14,4,600,5,600
38,38,20,3,600,5,600
39,39,28,2,600,5,600
40,40,8,3,600,5,600
