request_id,lab_node_id,ready_time,due_time,service_time,max_transport_time
1,1,0,180,5,180
2,2,0,180,5,180
3,3,0,180,5,180
4,4,0,180,5,180
5,5,0,180,5,180
6,6,0,180,5,180
7,7,0,180,5,180
8,8,0,180,5,180
9,9,0,180,5,180
10,10,0,180,5,180
11,11,0,180,5,180
12,12,0,180,5,180
13,13,0,180,5,180
14,14,0,180,5,180
15,15,0,180,5,180
16,16,0,180,5,180
17,17,0,180,5,180
18,18,0,180,5,180
19,19,0,180,5,180
20,20,0,180,5,180
21,21,0,180,5,180
22,22,0,180,5,180
23,23,0,180,5,180
24,24,0,180,5,180
25,25,0,180,5,180
26,26,0,180,5,180
27,27,0,180,5,180
28,28,0,180,5,180
29,29,0,180,5,180
30,30,0,180,5,180
31,31,0,180,5,180
32,32,0,180,5,180
33,33,0,180,5,180
34,34,0,180,5,180
35,35,0,180,5,180
36,36,0,180,5,180
37,37,0,180,5,180
38,38,0,180,5,180
39,39,0,180,5,180
40,40,0,180,5,180
