request_id,lab_node_id,ready_time,due_time,service_time,max_transport_time
1,1,0,240,5,300
2,2,0,240,5,300
3,3,0,240,5,300
4,4,0,240,5,300
5,5,0,240,5,300
6,6,0,240,5,300
7,7,0,240,5,300
8,8,0,240,5,300
9,9,0,240,5,300
10,10,0,240,5,300
11,11,0,240,5,300
12,12,0,240,5,300
13,13,0,240,5,300
14,14,0,240,5,300
15,15,0,240,5,300
16,16,0,240,5,300
17,17,0,240,5,300
18,18,0,240,5,300
19,19,0,240,5,300
20,20,0,240,5,300
21,21,0,240,5,300
22,22,0,240,5,300
23,23,0,240,5,300
24,24,0,240,5,300
25,25,0,240,5,300
26,26,0,240,5,300
27,27,0,240,5,300
28,28,0,240,5,300
29,29,0,240,5,300
30,30,0,240,5,300
31,31,0,240,5,300
32,32,0,240,5,300
33,33,0,240,5,300
34,34,0,240,5,300
35,35,0,240,5,300
36,36,0,240,5,300
37,37,0,240,5,300
38,38,0,240,5,300
39,39,0,240,5,300
40,40,0,240,5,300
